ticker,trades,wins,losses,win_rate_pct,total_pnl,total_return_pct,final_nav,avg_win,avg_loss,max_drawdown_pct,avg_bars_held
SOFI,92,38,54,41.3,1295.72,-2.53,9747.27,124.21,-63.41,14.32,3.0
MARA,100,50,50,50.0,1189.41,0.17,10016.77,83.9,-60.11,9.14,2.6
PLTR,82,36,46,43.9,37.27,-13.44,8656.1,86.18,-66.63,15.23,3.3
RKLB,122,54,68,44.3,793.19,-12.33,8766.85,146.41,-104.6,19.3,2.1
ASTS,117,61,56,52.1,2600.48,6.19,10619.2,154.97,-122.36,29.37,2.1
COIN,102,43,59,42.2,184.49,-15.56,8443.64,95.26,-66.3,21.59,2.8
IONQ,112,58,54,51.8,2226.93,2.17,10217.19,141.23,-110.45,20.75,2.3
